,LONGITUDE,TIME,LOCATION,CRIME,LATITUDE
172,-77.0146418341,evening,1102 - 1179 block of new jersey avenue nw,theft f/auto,38.90501402
173,-77.0020409661,evening,1922 - 1999 block of 3rd street ne,motor vehicle theft,38.9166356793
174,-77.0639820577,evening,1401 - 1498 block of wisconsin avenue nw,theft/other,38.9086179637
175,-76.9238742529,day,1100 - 1103 block of eastern avenue ne,assault w/dangerous weapon,38.9042138898
176,-77.023977695,midnight,1200 - 1299 block of 9th street nw,robbery,38.9064446244
177,-77.0143330525,day,100  - 199 block of carroll street nw,theft/other,38.974837325
178,-77.0331895281,evening,1400 - 1499 block of fairmont street nw,theft/other,38.9244772351
179,-77.0325902763,day,3000 - 3099 block of 14th street nw,theft/other,38.928171804
180,-77.0126313162,evening,100 - 199 block of kennedy street nw,theft/other,38.9565875344
181,-77.0044727163,midnight,100 - 208 block of m street ne,homicide,38.9056436347
182,-77.0275384966,midnight,1100 - 1198 block of euclid street nw,theft/other,38.9237580378
183,-77.0189423197,evening,m street nw and 5th street nw,theft f/auto,38.9056439864
184,-77.0296328458,evening,1700 - 1721 block of 13th street nw,theft f/auto,38.9129745559
185,-77.0257701676,evening,900 - 1199 block of maine avenue sw,motor vehicle theft,38.8809777643
186,-77.0434629815,day,1811 - 1852 block of columbia road nw,theft/other,38.9216993028
187,-76.9796535752,evening,1730 - 1763 block of stanton terrace se,theft/other,38.8493766013
188,-77.0175542172,midnight,700 - 900 block of 4th street sw,theft/other,38.8802849174
189,-77.0236086739,midnight,3301 - 3399 block of georgia avenue nw,theft f/auto,38.9316141467
190,-76.9844715917,midnight,1400 - 1499 block of maryland avenue ne,theft f/auto,38.8996899679
191,-77.0044978109,evening,100 - 379 block of michigan avenue ne,theft f/auto,38.9287968441
192,-76.971562629,day,2100 - 2199 block of 24th place ne,theft/other,38.9204575335
193,-76.9300188087,day,200 - 299 block of 50th street ne,motor vehicle theft,38.8928958729
194,-77.0058775262,evening,1st street se and l street se,robbery,38.8775212372
195,-77.027033579,midnight,2000 - 2099 block of 11th street nw,motor vehicle theft,38.9175549331
196,-77.0580805327,evening,3319 - 3499 block of connecticut avenue nw,theft/other,38.9348242806
197,-77.0302862501,day,1300 - 1331 block of park road nw,theft f/auto,38.9311261586
198,-77.0265147748,midnight,1000 - 1099 block of h street nw,theft/other,38.899814108
199,-77.032469709,evening,2900 - 2999 block of 14th street nw,motor vehicle theft,38.9270486811
200,-77.020419613,evening,600 - 623 block of q street nw,robbery,38.9111208114
201,-76.9721592874,day,3013 - 3099 block of 24th street ne,motor vehicle theft,38.9286805603
